kernel,dtype,n,stride,misalign,reps,time_ns_med,time_ns_p05,time_ns_p95,gflops,cpe,GiBps,verified,max_rel_err
dot,f32,512,8,1,9,328.000000,324.000000,402.000000,3.121951,1.996928,11.630175,1,2.3826108665801e-10
dot,f32,1024,1,0,9,742.000000,635.000000,747.000000,2.760108,2.258810,10.282203,1,3.2019924122096e-08
dot,f32,1024,1,1,9,636.000000,633.000000,705.000000,3.220126,1.936078,11.995903,1,3.6703642475721e-10
dot,f32,1024,2,0,9,744.000000,738.000000,824.000000,2.752688,2.264942,10.254563,1,3.8898695428917e-10
dot,f32,1024,2,1,9,635.000000,631.000000,701.000000,3.225197,1.933002,12.014795,1,4.0457539936896e-11
dot,f32,1024,4,0,9,633.000000,632.000000,702.000000,3.235387,1.926935,12.052756,1,1.8077386411141e-09
dot,f32,1024,4,1,9,638.000000,632.000000,710.000000,3.210031,1.942202,11.958299,1,2.8787117832331e-09
dot,f32,1024,8,0,9,643.000000,633.000000,742.000000,3.185070,1.957393,11.865310,1,3.9974812886982e-10
dot,f32,1024,8,1,9,741.000000,735.000000,821.000000,2.763833,2.255678,10.296079,1,3.3020146656541e-10
dot,f32,2048,1,0,9,1467.000000,1458.000000,1594.000000,2.792093,2.232923,10.401356,1,2.7750513986595e-08
dot,f32,2048,1,1,9,1470.000000,1461.000000,1615.000000,2.786395,2.237434,10.380129,1,3.0393328068637e-10
dot,f32,2048,2,0,9,1463.000000,1457.000000,1546.000000,2.799727,2.226786,10.429794,1,3.2757158963009e-10
dot,f32,2048,2,1,9,1466.000000,1452.000000,1580.000000,2.793997,2.231335,10.408451,1,3.3161434485014e-11
dot,f32,2048,4,0,9,1463.000000,1458.000000,1549.000000,2.799727,2.226762,10.429794,1,6.6675123274139e-10
dot,f32,2048,4,1,9,1468.000000,1461.000000,1585.000000,2.790191,2.234378,10.394270,1,3.5567012022536e-10
dot,f32,2048,8,0,9,1468.000000,1460.000000,1552.000000,2.790191,2.234397,10.394270,1,4.4778617257491e-10
dot,f32,2048,8,1,9,1465.000000,1462.000000,1551.000000,2.795904,2.229828,10.415556,1,1.3088550933797e-10
dot,f32,4096,1,0,9,2995.000000,2558.000000,3786.000000,2.735225,2.279266,10.189509,1,1.0986305131315e-07
dot,f32,4096,1,1,9,2517.000000,2511.000000,2573.000000,3.254668,1.915602,12.124584,1,1.2100435962451e-10
dot,f32,4096,2,0,9,2484.000000,2475.000000,2557.000000,3.297907,1.890399,12.285659,1,3.0949477621064e-10
dot,f32,4096,2,1,9,2561.000000,2546.000000,2622.000000,3.198750,1.948982,11.916274,1,8.5198516822773e-11
dot,f32,4096,4,0,9,2917.000000,2903.000000,3716.000000,2.808365,2.219906,10.461974,1,1.6943828564488e-10
dot,f32,4096,4,1,9,2491.000000,2481.000000,2567.000000,3.288639,1.855306,12.251135,1,6.6485943325540e-10
dot,f32,4096,8,0,9,3007.000000,2989.000000,3087.000000,2.724310,2.239585,10.148845,1,7.9474388044911e-11
dot,f32,4096,8,1,9,2970.000000,2966.000000,3064.000000,2.758249,2.212151,10.275279,1,4.9333882430462e-11
dot,f32,8192,1,0,9,5057.000000,5043.000000,5135.000000,3.239866,1.883224,12.069440,1,1.0235145411590e-07
dot,f32,8192,1,1,9,5064.000000,5046.000000,32783.000000,3.235387,1.885809,12.052756,1,4.1623956500172e-12
dot,f32,8192,2,0,9,5060.000000,5044.000000,5148.000000,3.237945,1.884353,12.062284,1,1.2011361420868e-09
dot,f32,8192,2,1,9,5060.000000,5046.000000,5136.000000,3.237945,1.884447,12.062284,1,2.3483696316337e-10
dot,f32,8192,4,0,9,5060.000000,5044.000000,6570.000000,3.237945,1.884338,12.062284,1,1.6446390853039e-09
dot,f32,8192,4,1,9,5061.000000,5049.000000,5141.000000,3.237305,1.884690,12.059900,1,2.1933315338983e-09
dot,f32,8192,8,0,9,5115.000000,5092.000000,5174.000000,3.203128,1.904845,11.932582,1,8.1613152022379e-11
dot,f32,8192,8,1,9,5060.000000,5046.000000,5135.000000,3.237945,1.884334,12.062284,1,1.7390874960167e-11
dot,f32,65536,1,0,9,40507.000000,40382.000000,141860.000000,3.235786,1.885583,12.054244,1,3.8665977753863e-07
dot,f32,65536,1,1,9,40458.000000,40417.000000,51387.000000,3.239705,1.883291,12.068843,1,1.6765802921190e-10
dot,f32,65536,2,0,9,40336.000000,40317.000000,40620.000000,3.249504,1.877704,12.105346,1,7.6301756950404e-10
dot,f32,65536,2,1,9,40342.000000,40316.000000,51195.000000,3.249021,1.877922,12.103546,1,7.1499344753572e-10
dot,f32,65536,4,0,9,43296.000000,43177.000000,53718.000000,3.027347,2.015419,11.277745,1,8.4706146931764e-10
dot,f32,65536,4,1,9,40366.000000,40325.000000,41333.000000,3.247089,1.879014,12.096350,1,8.3079390935632e-10
dot,f32,65536,8,0,9,44019.000000,43908.000000,51993.000000,2.977623,2.049063,11.092511,1,5.9567678515436e-10
dot,f32,65536,8,1,9,43922.000000,40963.000000,78802.000000,2.984199,2.044569,11.117009,1,4.0653316910666e-10
dot,f32,1048576,1,0,9,710854.000000,682418.000000,812585.000000,2.950187,2.068183,10.990302,1,1.5019154949354e-06
dot,f32,1048576,1,1,9,814228.000000,695974.000000,1199321.000000,2.575632,2.368944,9.594978,1,2.6703297048256e-10
dot,f32,1048576,2,0,9,965435.000000,680029.000000,3920150.000000,2.172235,2.808779,8.092207,1,2.5917906932688e-10
dot,f32,1048576,2,1,9,676265.000000,657253.000000,3127826.000000,3.101080,1.981563,11.552424,1,5.9056728632498e-12
dot,f32,1048576,4,0,9,678248.000000,641129.000000,1721428.000000,3.092014,2.018712,11.518648,1,1.7719650512313e-09
dot,f32,1048576,4,1,9,721467.000000,699444.000000,996897.000000,2.906789,2.147346,10.828631,1,3.0780309944426e-10
dot,f32,1048576,8,0,9,780335.000000,730455.000000,3367859.000000,2.687502,2.322607,10.011726,1,1.3669235055285e-11
dot,f32,1048576,8,1,9,714773.000000,663779.000000,1924552.000000,2.934011,2.127461,10.930044,1,7.8327744859772e-10
dot,f32,8388608,1,0,9,7003369.000000,5736335.000000,16846044.000000,2.395592,2.611006,8.924276,1,3.6239255369568e-06
