kernel,dtype,n,stride,gflops,cpe
mul,f32,2049,8,1.475162,2.11945
mul,f32,4097,1,1.553071,2.012874
mul,f32,4097,2,1.511808,2.067764
mul,f32,4097,4,1.514603,2.063985
mul,f32,4097,8,1.814438,1.722982
mul,f32,8193,1,1.728481,1.808562
mul,f32,8193,2,1.680615,1.860078
mul,f32,8193,4,1.777609,1.758618
mul,f32,8193,8,1.762314,1.773829
mul,f32,65537,1,1.766782,1.769373
mul,f32,65537,2,1.767449,1.768674
mul,f32,65537,4,1.572272,1.98832
mul,f32,65537,8,1.762695,1.773542
mul,f32,1048577,1,1.612126,1.939172
mul,f32,1048577,2,1.537602,2.03311
mul,f32,1048577,4,1.528525,2.045181
mul,f32,1048577,8,1.338767,2.335072
mul,f32,8388609,1,0.650198,4.807863
mul,f32,8388609,2,0.80918,3.86229
mul,f32,8388609,4,0.465508,6.713727
mul,f32,8388609,8,0.527234,5.927701
mul,f32,33554433,1,0.995423,3.139647
mul,f32,33554433,2,0.823272,3.797317
mul,f32,33554433,4,0.58421,5.351201
mul,f32,33554433,8,0.397846,7.857707
mul,f32,67108865,1,1.003051,3.116637
mul,f32,67108865,2,0.813232,3.843128
mul,f32,67108865,4,0.416276,7.510236
mul,f32,67108865,8,0.345348,9.052413
mul,f64,514,1,1.69637,1.842919
mul,f64,514,2,1.647436,1.897612
mul,f64,514,4,1.658065,1.885455
mul,f64,514,8,1.652733,1.891611
mul,f64,1026,1,1.730185,1.806853
mul,f64,1026,2,1.701493,1.83735
mul,f64,1026,4,1.461538,2.139027
mul,f64,1026,8,1.504399,2.077666
mul,f64,2050,1,1.489826,2.098129
mul,f64,2050,2,1.661264,1.881334
mul,f64,2050,4,1.443662,2.164958
mul,f64,2050,8,1.701245,1.837131
mul,f64,4098,1,1.74383,1.792257
mul,f64,4098,2,1.755784,1.780057
mul,f64,4098,4,1.503853,2.078384
mul,f64,4098,8,1.718239,1.818975
mul,f64,8194,1,1.814438,1.722521
mul,f64,8194,2,1.764427,1.771438
mul,f64,8194,4,1.753853,1.782012
mul,f64,8194,8,1.689136,1.850283
mul,f64,65538,1,1.822931,1.714503
mul,f64,65538,2,1.799407,1.737422
mul,f64,65538,4,1.728277,1.808986
mul,f64,65538,8,1.603729,1.949452
mul,f64,1048578,1,1.021921,3.059355
mul,f64,1048578,2,1.008523,3.099891
mul,f64,1048578,4,0.977028,3.199821
mul,f64,1048578,8,0.737231,4.24062
mul,f64,8388610,1,0.517888,6.036661
mul,f64,8388610,2,0.413001,7.569738
mul,f64,8388610,4,0.240813,12.982021
mul,f64,8388610,8,0.207031,15.100449
mul,f64,33554434,1,0.467454,6.687842
mul,f64,33554434,2,0.329604,9.482482
mul,f64,33554434,4,0.250665,12.472246
mul,f64,33554434,8,0.165957,18.8381
mul,f64,67108866,1,0.444709,7.027992
mul,f64,67108866,2,0.323921,9.65146
mul,f64,67108866,4,0.287147,10.887037
mul,f64,67108866,8,0.179708,17.396542
stencil,f32,1025,1,27.648649,0.565358
stencil,f32,2049,1,50.418719,0.310031
stencil,f32,4097,1,42.745303,0.365675
stencil,f32,8193,1,46.172492,0.338532
stencil,f32,65537,1,62.331177,0.250773
stencil,f32,1048577,1,10.450073,1.49581
stencil,f32,8388609,1,4.270953,3.659979
stencil,f32,33554433,1,5.854441,2.669244
stencil,f32,67108865,1,6.914881,2.25988
stencil,f64,1026,1,15.515152,1.007513
stencil,f64,2050,1,24.32304,0.642659
stencil,f64,4098,1,26.189258,0.596864
stencil,f64,8194,1,26.408769,0.591943
stencil,f64,65538,1,25.942522,0.602546
stencil,f64,1048578,1,8.151548,1.917645
stencil,f64,8388610,1,3.517385,4.444025
stencil,f64,33554434,1,3.306875,4.726858
stencil,f64,67108866,1,3.488764,4.48031
